,Date,Open,High,Low,Close,Adj Close,Volume
20376,2009-02-24,744.690002,775.48999,744.690002,773.140015,773.140015,7234490000
20377,2009-02-25,770.640015,780.119995,752.890015,764.900024,764.900024,7483640000
20378,2009-02-26,765.76001,779.419983,751.75,752.830017,752.830017,7599970000
20379,2009-02-27,749.929993,751.27002,734.52002,735.090027,735.090027,8926480000
20380,2009-03-02,729.570007,729.570007,699.700012,700.820007,700.820007,7868290000
20381,2009-03-03,704.440002,711.669983,692.299988,696.330017,696.330017,7583230000
20382,2009-03-04,698.599976,724.119995,698.599976,712.869995,712.869995,7673620000
20383,2009-03-05,708.27002,708.27002,677.929993,682.549988,682.549988,7507250000
20384,2009-03-06,684.039978,699.090027,666.789978,683.380005,683.380005,7331830000
20385,2009-03-09,680.76001,695.27002,672.880005,676.530029,676.530029,7277320000
20386,2009-03-10,679.280029,719.599976,679.280029,719.599976,719.599976,8618330000
20387,2009-03-11,719.590027,731.919983,713.849976,721.359985,721.359985,7287810000
20388,2009-03-12,720.890015,752.630005,714.76001,750.73999,750.73999,7326630000
20389,2009-03-13,751.969971,758.289978,742.460022,756.549988,756.549988,6787090000
20390,2009-03-16,758.840027,774.530029,753.369995,753.890015,753.890015,7883540000
20391,2009-03-17,753.880005,778.119995,749.929993,778.119995,778.119995,6156800000
20392,2009-03-18,776.01001,803.039978,765.640015,794.349976,794.349976,9098450000
20393,2009-03-19,797.919983,803.23999,781.820007,784.039978,784.039978,9033870000
20394,2009-03-20,784.580017,788.909973,766.200012,768.539978,768.539978,7643720000
20395,2009-03-23,772.309998,823.369995,772.309998,822.919983,822.919983,7715770000
20396,2009-03-24,820.599976,823.650024,805.47998,806.119995,806.119995,6767980000
20397,2009-03-25,806.809998,826.780029,791.369995,813.880005,813.880005,7687180000
20398,2009-03-26,814.059998,832.97998,814.059998,832.859985,832.859985,6992960000
20399,2009-03-27,828.679993,828.679993,813.429993,815.940002,815.940002,5600210000
20400,2009-03-30,809.070007,809.070007,779.809998,787.530029,787.530029,5912660000
20401,2009-03-31,790.880005,810.47998,790.880005,797.869995,797.869995,6089100000
20402,2009-04-01,793.590027,813.619995,783.320007,811.080017,811.080017,6034140000
20403,2009-04-02,814.530029,845.609985,814.530029,834.380005,834.380005,7542810000
20404,2009-04-03,835.130005,842.5,826.700012,842.5,842.5,5855640000
20405,2009-04-06,839.75,839.75,822.789978,835.47998,835.47998,6210000000
20406,2009-04-07,834.119995,834.119995,814.530029,815.549988,815.549988,5155580000
20407,2009-04-08,816.76001,828.419983,814.840027,825.159973,825.159973,5938460000
