Date,Open,High,Low,Close,Adj Close,Volume
2023-12-13,3068.399902,3110.699951,3066.800049,3101.100098,3101.100098,0
2023-12-14,3109.899902,3137.500000,3109.000000,3128.899902,3128.899902,0
2023-12-15,3128.199951,3133.100098,3117.300049,3126.100098,3126.100098,0
2023-12-17,null,null,null,null,null,null
2023-12-18,3124.000000,3135.399902,3120.300049,3131.399902,3131.399902,0
2023-12-19,3132.199951,3153.300049,3131.100098,3153.300049,3153.300049,0
2023-12-20,3153.000000,3160.100098,3118.800049,3121.800049,3121.800049,0
2023-12-21,3120.000000,3147.100098,3115.300049,3145.100098,3145.100098,0
2023-12-22,3146.899902,3163.100098,3142.800049,3152.300049,3152.300049,0
2023-12-24,null,null,null,null,null,null
2023-12-26,3152.899902,3168.399902,3151.699951,3162.699951,3162.699951,0
2023-12-27,3165.600098,3178.199951,3165.000000,3175.699951,3175.699951,0
2023-12-28,3176.500000,3184.300049,3173.399902,3178.100098,3178.100098,0
2023-12-29,3174.199951,3179.699951,3161.899902,3169.199951,3169.199951,0
2023-12-31,null,null,null,null,null,null
2024-01-02,3168.500000,3170.899902,3135.600098,3145.399902,3145.399902,0
2024-01-03,3144.199951,3145.600098,3113.699951,3115.699951,3115.699951,0
2024-01-04,3117.699951,3132.500000,3113.100098,3114.100098,3114.100098,0
2024-01-05,3114.300049,3133.899902,3102.600098,3120.600098,3120.600098,0
2024-01-07,null,null,null,null,null,null
2024-01-08,3117.600098,3153.600098,3111.699951,3153.600098,3153.600098,0
2024-01-09,3152.899902,3157.199951,3135.399902,3147.000000,3147.000000,0
2024-01-10,3147.699951,3165.199951,3146.899902,3161.500000,3161.500000,0
2024-01-11,3163.600098,3173.600098,3137.100098,3157.300049,3157.300049,0
2024-01-12,3160.199951,3181.199951,3160.199951,3168.300049,3168.300049,0
2024-01-14,null,null,null,null,null,null
2024-01-16,3165.000000,3165.000000,3135.600098,3146.000000,3146.000000,0
2024-01-17,3146.100098,3148.100098,3109.600098,3120.399902,3120.399902,0
2024-01-18,3122.600098,3146.000000,3122.000000,3143.199951,3143.199951,0
2024-01-19,3144.899902,3176.500000,3144.899902,3175.399902,3175.399902,0
2024-01-21,null,null,null,null,null,null
2024-01-22,3176.199951,3198.300049,3176.199951,3189.100098,3189.100098,0
2024-01-23,3188.899902,3192.800049,3181.300049,3190.899902,3190.899902,0
2024-01-24,3192.399902,3220.899902,3191.199951,3203.600098,3203.600098,0
2024-01-25,3201.699951,3215.899902,3199.399902,3212.300049,3212.300049,0
2024-01-26,3213.100098,3223.800049,3208.600098,3216.199951,3216.199951,0
2024-01-28,null,null,null,null,null,null
2024-01-29,3216.199951,3239.399902,3215.800049,3236.300049,3236.300049,0
2024-01-30,3238.699951,3241.699951,3232.800049,3236.800049,3236.800049,0
2024-01-31,3238.300049,3243.500000,3199.699951,3205.300049,3205.300049,0
2024-02-01,3198.100098,3229.699951,3193.699951,3226.800049,3226.800049,0
2024-02-02,3230.699951,3254.399902,3218.500000,3247.600098,3247.600098,0
2024-02-04,null,null,null,null,null,null
2024-02-05,3246.399902,3248.500000,3220.699951,3233.500000,3233.500000,0
2024-02-06,3233.300049,3246.100098,3232.600098,3244.500000,3244.500000,0
2024-02-07,3245.899902,3267.399902,3245.300049,3265.100098,3265.100098,0
2024-02-08,3265.100098,3268.500000,3260.699951,3266.100098,3266.100098,0
2024-02-09,3267.100098,3283.399902,3266.300049,3281.399902,3281.399902,0
2024-02-11,null,null,null,null,null,null
2024-02-12,3281.399902,3294.899902,3279.500000,3281.000000,3281.000000,0
2024-02-13,3281.600098,3286.000000,3223.300049,3240.300049,3240.300049,0
2024-02-14,3239.500000,3266.899902,3235.899902,3265.699951,3265.699951,0
2024-02-15,3268.000000,3291.600098,3266.899902,3289.699951,3289.699951,0
2024-02-16,3292.699951,3302.500000,3279.500000,3285.100098,3285.100098,0
2024-02-18,null,null,null,null,null,null
2024-02-19,3285.800049,3287.699951,3285.699951,3286.899902,3286.899902,0
2024-02-20,3287.199951,3289.600098,3263.199951,3274.300049,3274.300049,0
2024-02-21,3272.199951,3273.699951,3256.000000,3272.199951,3272.199951,0
2024-02-22,3273.100098,3334.199951,3272.800049,3329.899902,3329.899902,0
2024-02-23,3331.199951,3344.399902,3329.100098,3334.000000,3334.000000,0
2024-02-25,null,null,null,null,null,null
2024-02-26,3335.000000,3338.399902,3325.300049,3325.800049,3325.800049,0
2024-02-27,3326.100098,3332.600098,3322.199951,3331.899902,3331.899902,0
2024-02-28,3331.500000,3331.600098,3317.000000,3322.600098,3322.600098,0
2024-02-29,3323.199951,3340.800049,3320.199951,3337.199951,3337.199951,0
2024-03-01,3335.300049,3365.899902,3334.899902,3364.000000,3364.000000,0
2024-03-03,null,null,null,null,null,null
2024-03-04,3364.399902,3370.800049,3358.699951,3362.300049,3362.300049,0
2024-03-05,3361.899902,3362.300049,3325.399902,3337.199951,3337.199951,0
2024-03-06,3335.899902,3366.600098,3334.439941,3364.790039,3364.790039,0
